CV:    -1	106.74	90.25	
Univ: 266	96.00	93.11	6.8750	
Univ: 267	90.96	101.03	1.6141	
Univ: 268	90.41	102.96	0.0536	
Univ: 269	110.03	116.06	0.0009	
Univ: 270	109.36	88.91	17.6768	
Univ: 271	113.11	93.67	0.7679	
Univ: 272	120.60	115.03	0.0000	
Univ: 273	104.80	100.65	2.1786	
Univ: 274	103.26	105.39	0.0592	
Univ: 275	113.34	92.88	4.0765	
Univ: 276	114.85	117.94	0.0000	
Univ: 277	109.77	103.73	0.0674	
Univ: 278	105.29	81.72	2.0462	
Univ: 279	120.29	112.08	0.0007	
Univ: 280	139.28	99.66	0.9124	
Univ: 281	110.82	87.64	11.1783	
Univ: 282	114.52	98.23	0.3769	
Univ: 283	98.56	95.84	0.7524	
Univ: 284	98.99	97.92	1.1459	
Univ: 285	107.55	90.77	0.4202	
Univ: 286	117.91	100.56	0.3485	
Univ: 287	101.86	91.42	8.6603	
Univ: 288	105.42	92.13	0.2390	
Univ: 289	126.78	97.88	3.0062	
Univ: 290	110.64	109.69	0.0157	
Univ: 291	97.07	101.99	0.0417	
Univ: 292	144.12	112.95	0.0059	
Univ: 293	114.26	116.19	0.0007	
Univ: 294	102.72	98.52	0.4264	
Univ: 295	114.85	98.81	2.0081	
Univ: 296	116.04	111.46	0.0023	
Univ: 297	107.16	91.07	16.8349	
Univ: 298	123.72	90.46	4.0699	
Univ: 299	115.76	100.01	0.3898	
Univ: 300	120.10	107.76	0.0543	
Univ: 301	111.72	109.27	0.0024	
Univ: 302	105.35	90.06	0.0122	
Univ: 303	107.99	103.42	0.0042	
Univ: 304	101.79	90.66	3.2037	
Univ: 305	100.44	110.14	0.0186	
Univ: 306	91.51	99.67	0.6695	
Univ: 307	89.48	100.06	0.8105	
Univ: 308	94.50	101.52	0.2080	
Univ: 309	98.56	91.78	1.5607	
Univ: 310	105.17	94.85	7.1465	
Univ: 311	108.13	102.01	0.0209	
Univ: 312	105.78	102.17	0.0804	
Univ: 313	94.47	92.56	4.3513	
Univ: 314	99.82	108.21	0.0067	
Univ: 315	120.85	105.21	0.0063	
Univ: 316	127.07	95.38	1.6807	
Univ: 317	109.37	92.93	0.2922	
Univ: 318	85.87	115.97	0.0008	
Univ: 319	102.89	90.75	13.8434	
Univ: 320	100.27	100.35	0.1130	
Univ: 321	96.50	100.72	0.2586	
Univ: 322	86.23	98.21	1.1302	
Univ: 323	120.22	100.89	0.9110	
Univ: 324	95.91	100.85	0.1457	
Univ: 325	113.21	103.73	0.0327	
Univ: 326	93.77	107.06	0.0002	
Univ: 327	133.52	105.09	0.0201	
Univ: 328	110.66	95.16	0.8027	
Univ: 329	101.31	100.31	0.4880	
Univ: 330	109.55	99.07	0.1981	
Univ: 331	100.13	103.84	0.0477	
Univ: 332	125.01	104.10	0.0125	
Univ: 333	131.97	106.86	0.2264	
Univ: 334	115.07	94.56	13.6813	
Univ: 335	117.43	101.18	0.0244	
Univ: 336	106.76	84.89	0.0887	
Univ: 337	111.86	86.99	16.7803	
Univ: 338	106.33	87.80	22.4286	
Univ: 339	112.55	103.28	0.1759	
Univ: 340	104.63	96.72	0.8105	
Univ: 341	102.47	96.36	0.4612	
Univ: 342	101.39	104.86	0.0024	
Univ: 343	112.97	100.30	0.0735	
Univ: 344	104.25	90.59	2.7639	
Univ: 345	90.85	95.82	0.5048	
Univ: 346	131.89	98.83	0.1904	
Univ: 347	107.20	102.39	0.1014	
Univ: 348	125.97	99.82	0.6703	
Univ: 349	97.96	108.71	0.0007	
Univ: 350	112.20	91.51	5.6875	
Univ: 351	113.54	98.38	0.6352	
Univ: 352	140.88	100.06	1.1435	
Univ: 353	113.69	100.06	0.2372	
Univ: 354	81.20	92.56	0.6716	
Univ: 355	118.54	108.12	0.0343	
Univ: 356	98.00	92.06	4.7618	
Univ: 357	129.34	95.76	5.4689	
Univ: 358	112.52	107.77	0.0030	
Univ: 359	100.62	106.03	0.0117	
Univ: 360	85.59	99.61	0.0235	
Univ: 361	113.15	95.69	1.1331	
Univ: 362	109.37	82.61	0.9613	
Univ: 363	110.85	106.31	0.0174	
Univ: 364	122.75	115.02	0.0000	
Univ: 365	104.52	114.51	0.0001	
Univ: 366	106.47	105.00	0.0169	
Univ: 367	133.57	96.64	1.5290	
Univ: 368	110.69	95.37	0.9813	
Univ: 369	104.73	95.52	2.7365	
Univ: 370	97.07	86.37	9.0738	
Univ: 371	102.37	107.94	0.0482	
Univ: 372	112.43	109.08	0.0086	
Univ: 373	109.07	105.56	0.0240	
Univ: 374	112.66	97.82	0.0307	
Univ: 375	118.76	106.64	0.0291	
Univ: 376	106.03	99.50	0.1758	
