CV:    -1	28.65	26.54	
Univ: 234	28.58	25.86	10.6045	
Univ: 235	31.46	28.08	4.4163	
Univ: 236	31.05	27.86	0.1870	
Univ: 237	29.51	29.96	0.0014	
Univ: 238	28.65	26.82	2.9187	
Univ: 239	28.75	28.73	0.0151	
Univ: 240	28.09	27.96	0.3601	
Univ: 241	29.90	28.36	1.6980	
Univ: 242	28.64	26.82	11.2155	
Univ: 243	29.69	26.24	5.9503	
Univ: 244	29.09	25.30	9.6685	
Univ: 245	29.73	26.02	1.1760	
Univ: 246	26.94	30.66	0.0013	
Univ: 247	29.36	29.39	0.2226	
Univ: 248	28.44	26.90	5.2150	
Univ: 249	33.09	26.74	4.4342	
Univ: 250	27.99	26.94	0.7946	
Univ: 251	28.36	28.66	0.0585	
Univ: 252	29.34	26.91	6.2176	
Univ: 253	26.67	30.07	0.1765	
Univ: 254	28.55	26.88	6.3874	
Univ: 255	28.59	26.02	0.4716	
Univ: 256	27.23	29.38	0.0414	
Univ: 257	26.36	26.40	0.1362	
Univ: 258	29.50	27.20	0.0151	
Univ: 259	28.74	26.13	0.0202	
Univ: 260	30.70	29.21	0.0034	
Univ: 261	28.25	28.30	0.0074	
Univ: 262	28.06	28.04	0.0028	
Univ: 263	31.44	26.24	14.7964	
Univ: 264	27.66	28.17	0.0607	
Univ: 265	31.28	29.16	0.0215	
Univ: 266	27.16	27.02	6.8750	
Univ: 267	26.56	28.11	1.6141	
Univ: 268	26.72	29.56	0.0536	
Univ: 269	29.71	27.91	0.0009	
Univ: 270	29.04	25.91	17.6768	
Univ: 271	30.65	26.91	0.7679	
Univ: 272	31.16	31.24	0.0000	
Univ: 273	27.63	28.27	2.1786	
Univ: 274	28.15	25.25	0.0592	
Univ: 275	28.89	27.10	4.0765	
Univ: 276	28.98	30.33	0.0000	
Univ: 277	28.66	30.42	0.0674	
Univ: 278	26.53	23.79	2.0462	
Univ: 279	31.30	30.01	0.0007	
Univ: 280	33.70	26.30	0.9124	
Univ: 281	28.90	27.77	11.1783	
Univ: 282	29.18	31.18	0.3769	
Univ: 283	26.43	27.34	0.7524	
Univ: 284	27.43	27.12	1.1459	
Univ: 285	28.42	24.59	0.4202	
Univ: 286	28.51	27.17	0.3485	
Univ: 287	27.81	30.25	8.6603	
Univ: 288	29.01	25.44	0.2390	
Univ: 289	30.84	28.37	3.0062	
Univ: 290	27.99	27.81	0.0157	
Univ: 291	27.34	29.24	0.0417	
Univ: 292	32.38	29.04	0.0059	
Univ: 293	29.92	30.54	0.0007	
Univ: 294	27.46	26.14	0.4264	
Univ: 295	31.48	27.67	2.0081	
Univ: 296	30.14	30.94	0.0023	
Univ: 297	27.13	28.14	16.8349	
Univ: 298	32.99	26.88	4.0699	
Univ: 299	30.29	27.31	0.3898	
Univ: 300	29.39	28.37	0.0543	
Univ: 301	31.14	27.36	0.0024	
Univ: 302	29.14	24.25	0.0122	
Univ: 303	30.77	26.06	0.0042	
Univ: 304	28.38	25.67	3.2037	
Univ: 305	27.99	28.15	0.0186	
Univ: 306	26.82	28.91	0.6695	
Univ: 307	29.14	27.89	0.8105	
Univ: 308	24.74	27.93	0.2080	
Univ: 309	25.80	29.19	1.5607	
Univ: 310	30.53	28.24	7.1465	
Univ: 311	27.47	28.24	0.0209	
Univ: 312	27.71	29.04	0.0804	
Univ: 313	26.31	26.96	4.3513	
Univ: 314	29.01	28.60	0.0067	
Univ: 315	31.82	28.63	0.0063	
Univ: 316	30.87	25.96	1.6807	
Univ: 317	28.20	25.26	0.2922	
Univ: 318	24.59	29.59	0.0008	
Univ: 319	26.93	26.80	13.8434	
Univ: 320	27.94	28.41	0.1130	
Univ: 321	28.22	26.52	0.2586	
Univ: 322	25.89	28.75	1.1302	
Univ: 323	33.06	28.30	0.9110	
Univ: 324	25.48	27.59	0.1457	
Univ: 325	31.87	27.75	0.0327	
Univ: 326	28.08	27.93	0.0002	
Univ: 327	30.49	28.87	0.0201	
Univ: 328	29.63	27.57	0.8027	
Univ: 329	26.13	28.15	0.4880	
Univ: 330	28.69	28.08	0.1981	
Univ: 331	29.17	27.85	0.0477	
Univ: 332	31.38	29.06	0.0125	
Univ: 333	34.31	27.43	0.2264	
Univ: 334	31.50	28.98	13.6813	
Univ: 335	29.80	28.44	0.0244	
Univ: 336	28.93	23.55	0.0887	
