CV:    -1	85.96	76.43	
Univ: 252	83.65	79.86	6.2176	
Univ: 253	83.88	83.82	0.1765	
Univ: 254	83.97	76.43	6.3874	
Univ: 255	88.97	81.34	0.4716	
Univ: 256	85.22	84.86	0.0414	
Univ: 257	81.74	79.28	0.1362	
Univ: 258	88.70	84.84	0.0151	
Univ: 259	88.25	82.76	0.0202	
Univ: 260	101.27	85.32	0.0034	
Univ: 261	83.75	86.32	0.0074	
Univ: 262	77.10	85.23	0.0028	
Univ: 263	96.49	73.32	14.7964	
Univ: 264	76.42	80.81	0.0607	
Univ: 265	92.59	86.98	0.0215	
Univ: 266	77.28	79.61	6.8750	
Univ: 267	77.13	81.62	1.6141	
Univ: 268	80.21	84.63	0.0536	
Univ: 269	90.55	86.37	0.0009	
Univ: 270	89.20	74.09	17.6768	
Univ: 271	91.64	80.24	0.7679	
Univ: 272	97.10	91.85	0.0000	
Univ: 273	85.18	80.75	2.1786	
Univ: 274	84.22	79.15	0.0592	
Univ: 275	85.97	79.54	4.0765	
Univ: 276	92.38	88.75	0.0000	
Univ: 277	87.39	84.29	0.0674	
Univ: 278	82.59	67.00	2.0462	
Univ: 279	92.30	86.07	0.0007	
Univ: 280	103.86	79.59	0.9124	
Univ: 281	92.12	78.25	11.1783	
Univ: 282	90.22	82.48	0.3769	
Univ: 283	80.91	80.75	0.7524	
Univ: 284	85.74	81.06	1.1459	
Univ: 285	87.25	75.68	0.4202	
Univ: 286	91.27	79.83	0.3485	
Univ: 287	80.20	83.32	8.6603	
Univ: 288	87.79	78.24	0.2390	
Univ: 289	101.05	81.86	3.0062	
Univ: 290	88.25	85.13	0.0157	
Univ: 291	85.19	83.59	0.0417	
Univ: 292	104.16	85.93	0.0059	
Univ: 293	88.89	86.79	0.0007	
Univ: 294	81.58	77.29	0.4264	
Univ: 295	89.70	79.07	2.0081	
Univ: 296	92.79	88.96	0.0023	
Univ: 297	83.94	77.20	16.8349	
Univ: 298	96.54	77.21	4.0699	
Univ: 299	89.65	81.92	0.3898	
Univ: 300	89.84	83.35	0.0543	
Univ: 301	87.48	86.12	0.0024	
Univ: 302	85.66	73.93	0.0122	
Univ: 303	87.59	85.60	0.0042	
Univ: 304	82.82	73.40	3.2037	
Univ: 305	78.99	80.22	0.0186	
Univ: 306	77.13	82.23	0.6695	
Univ: 307	77.96	80.14	0.8105	
Univ: 308	78.90	85.58	0.2080	
Univ: 309	84.24	78.21	1.5607	
Univ: 310	84.56	80.10	7.1465	
Univ: 311	90.88	84.45	0.0209	
Univ: 312	88.97	86.77	0.0804	
Univ: 313	78.95	78.66	4.3513	
Univ: 314	84.98	89.09	0.0067	
Univ: 315	97.30	88.07	0.0063	
