CV:    -1	647.13	606.76	
Univ: 561	642.68	663.37	0.0115	
Univ: 562	700.29	721.75	0.0000	
Univ: 563	684.20	665.59	0.0000	
Univ: 564	639.79	738.16	0.0000	
Univ: 565	622.09	619.45	0.0692	
Univ: 566	719.67	699.98	0.0000	
Univ: 567	592.21	714.14	0.0000	
Univ: 568	679.00	656.80	0.0000	
Univ: 569	639.61	693.65	0.0000	
Univ: 570	539.43	663.82	0.0001	
Univ: 571	614.34	770.88	0.0000	
Univ: 572	656.37	766.55	0.0000	
Univ: 573	656.59	662.73	0.0003	
Univ: 574	650.50	739.77	0.0000	
Univ: 575	680.70	653.84	0.0000	
Univ: 576	653.29	665.81	0.0000	
Univ: 577	544.96	647.05	0.0006	
Univ: 578	611.68	635.40	0.0006	
Univ: 579	603.75	684.32	0.0000	
Univ: 580	673.80	656.87	0.0000	
Univ: 581	627.62	659.94	0.0000	
Univ: 582	648.79	710.46	0.0005	
Univ: 583	602.70	613.57	0.0009	
Univ: 584	696.80	750.89	0.0000	
Univ: 585	687.25	739.50	0.0000	
Univ: 586	684.85	710.75	0.0000	
Univ: 587	648.38	731.69	0.0000	
Univ: 588	675.56	719.00	0.0000	
Univ: 589	664.84	664.92	0.0000	
Univ: 590	666.49	627.09	0.0021	
Univ: 591	654.50	734.66	0.0000	
Univ: 592	709.44	626.84	0.0000	
Univ: 593	593.17	739.93	0.0000	
Univ: 594	615.05	764.73	0.0000	
Univ: 595	649.64	657.47	0.0039	
Univ: 596	678.17	753.61	0.0000	
Univ: 597	692.36	683.58	0.0000	
Univ: 598	685.96	669.07	0.0001	
Univ: 599	689.77	664.40	0.0000	
Univ: 600	688.00	721.62	0.0000	
Univ: 601	740.65	583.34	0.0055	
Univ: 602	652.97	665.50	0.0115	
Univ: 603	710.24	721.53	0.0000	
Univ: 604	676.43	696.60	0.0000	
Univ: 605	616.49	704.38	0.0000	
Univ: 606	707.64	724.21	0.0000	
Univ: 607	644.01	686.09	0.0000	
Univ: 608	740.26	698.60	0.0000	
Univ: 609	664.28	702.20	0.0002	
Univ: 610	666.28	687.26	0.0000	
Univ: 611	682.81	647.05	0.0020	
Univ: 612	674.83	710.29	0.0000	
Univ: 613	621.42	727.26	0.0011	
Univ: 614	685.36	730.74	0.0000	
Univ: 615	657.26	648.19	0.0056	
Univ: 616	646.67	774.41	0.0000	
Univ: 617	502.85	765.99	0.0000	
Univ: 618	569.57	646.48	0.0000	
Univ: 619	588.81	629.81	0.0027	
Univ: 620	688.05	700.97	0.0000	
Univ: 621	710.21	720.41	0.0000	
Univ: 622	635.45	671.12	0.0014	
Univ: 623	662.69	633.53	0.0000	
Univ: 624	625.26	642.30	0.0000	
Univ: 625	637.77	686.74	0.0000	
Univ: 626	654.42	634.41	0.0000	
Univ: 627	635.41	748.09	0.0000	
Univ: 628	633.58	599.10	0.0000	
Univ: 629	668.82	618.95	0.0000	
Univ: 630	603.64	665.55	0.0000	
Univ: 631	659.83	619.46	0.0003	
