CV:    -1	3.24	2.78	
Univ: 231	2.84	3.35	0.4516	
Univ: 232	3.69	3.03	2.0138	
Univ: 233	3.19	3.47	0.0013	
Univ: 234	3.37	3.05	10.6045	
Univ: 235	3.80	2.78	4.4163	
Univ: 236	3.51	3.22	0.1870	
Univ: 237	3.11	3.80	0.0014	
Univ: 238	3.41	2.92	2.9187	
Univ: 239	3.44	3.14	0.0151	
Univ: 240	2.96	2.95	0.3601	
Univ: 241	3.40	2.91	1.6980	
Univ: 242	3.09	2.78	11.2155	
Univ: 243	3.38	2.77	5.9503	
Univ: 244	3.18	2.59	9.6685	
Univ: 245	3.49	2.66	1.1760	
Univ: 246	2.89	3.76	0.0013	
Univ: 247	3.27	3.12	0.2226	
Univ: 248	3.64	2.76	5.2150	
Univ: 249	3.88	2.97	4.4342	
Univ: 250	3.42	2.65	0.7946	
Univ: 251	3.50	3.43	0.0585	
Univ: 252	3.26	2.80	6.2176	
Univ: 253	2.90	3.25	0.1765	
Univ: 254	3.61	2.93	6.3874	
Univ: 255	3.16	2.97	0.4716	
Univ: 256	3.18	3.35	0.0414	
Univ: 257	2.99	3.45	0.1362	
Univ: 258	3.28	3.13	0.0151	
Univ: 259	3.55	2.92	0.0202	
Univ: 260	3.89	3.43	0.0034	
Univ: 261	3.14	3.34	0.0074	
Univ: 262	3.19	3.30	0.0028	
Univ: 263	3.91	2.83	14.7964	
Univ: 264	2.76	3.00	0.0607	
Univ: 265	3.26	4.09	0.0215	
Univ: 266	2.88	3.05	6.8750	
Univ: 267	2.92	3.31	1.6141	
Univ: 268	2.98	3.56	0.0536	
Univ: 269	3.23	3.55	0.0009	
Univ: 270	3.36	2.59	17.6768	
Univ: 271	3.67	2.77	0.7679	
Univ: 272	3.89	3.76	0.0000	
Univ: 273	3.41	2.89	2.1786	
Univ: 274	3.16	3.06	0.0592	
Univ: 275	3.03	2.75	4.0765	
Univ: 276	2.97	3.59	0.0000	
Univ: 277	3.08	3.63	0.0674	
Univ: 278	3.40	2.27	2.0462	
Univ: 279	3.52	3.84	0.0007	
Univ: 280	4.15	2.66	0.9124	
Univ: 281	3.57	3.01	11.1783	
Univ: 282	3.22	3.53	0.3769	
Univ: 283	2.93	2.76	0.7524	
Univ: 284	3.08	3.24	1.1459	
Univ: 285	3.75	2.72	0.4202	
Univ: 286	3.27	3.54	0.3485	
Univ: 287	3.03	3.25	8.6603	
Univ: 288	3.28	3.04	0.2390	
Univ: 289	4.14	3.29	3.0062	
Univ: 290	3.55	3.34	0.0157	
Univ: 291	3.52	3.05	0.0417	
Univ: 292	3.93	3.47	0.0059	
Univ: 293	3.40	3.61	0.0007	
Univ: 294	3.16	2.89	0.4264	
Univ: 295	3.46	3.05	2.0081	
Univ: 296	3.54	3.68	0.0023	
Univ: 297	3.19	2.81	16.8349	
Univ: 298	3.78	2.46	4.0699	
Univ: 299	3.63	2.75	0.3898	
Univ: 300	3.40	3.12	0.0543	
Univ: 301	3.65	3.09	0.0024	
Univ: 302	3.42	3.12	0.0122	
Univ: 303	3.66	3.23	0.0042	
Univ: 304	3.20	2.70	3.2037	
Univ: 305	2.93	3.04	0.0186	
Univ: 306	2.77	3.11	0.6695	
Univ: 307	3.01	3.12	0.8105	
Univ: 308	2.92	3.04	0.2080	
Univ: 309	3.46	3.37	1.5607	
Univ: 310	2.82	3.21	7.1465	
Univ: 311	3.20	2.93	0.0209	
Univ: 312	3.18	3.18	0.0804	
Univ: 313	2.69	3.21	4.3513	
Univ: 314	3.06	3.50	0.0067	
Univ: 315	4.26	3.28	0.0063	
Univ: 316	3.52	3.05	1.6807	
Univ: 317	3.40	3.02	0.2922	
Univ: 318	2.68	3.64	0.0008	
Univ: 319	3.29	2.78	13.8434	
Univ: 320	3.01	3.54	0.1130	
Univ: 321	3.19	2.90	0.2586	
Univ: 322	2.60	3.02	1.1302	
Univ: 323	3.48	3.16	0.9110	
Univ: 324	2.64	3.05	0.1457	
Univ: 325	3.80	3.36	0.0327	
Univ: 326	2.94	3.83	0.0002	
Univ: 327	4.13	3.27	0.0201	
Univ: 328	3.05	3.15	0.8027	
Univ: 329	3.02	3.48	0.4880	
Univ: 330	3.21	3.26	0.1981	
