CV:    -1	42.83	38.23	
Univ: 234	41.08	36.38	10.6045	
Univ: 235	49.12	42.53	4.4163	
Univ: 236	48.36	38.40	0.1870	
Univ: 237	43.56	43.37	0.0014	
Univ: 238	39.62	38.10	2.9187	
Univ: 239	43.24	42.85	0.0151	
Univ: 240	43.94	40.86	0.3601	
Univ: 241	50.09	38.16	1.6980	
Univ: 242	44.67	38.14	11.2155	
Univ: 243	43.07	37.78	5.9503	
Univ: 244	42.28	36.12	9.6685	
Univ: 245	41.74	36.53	1.1760	
Univ: 246	37.33	46.56	0.0013	
Univ: 247	41.25	43.03	0.2226	
Univ: 248	39.22	41.25	5.2150	
Univ: 249	49.05	35.09	4.4342	
Univ: 250	41.43	39.04	0.7946	
Univ: 251	40.66	43.36	0.0585	
Univ: 252	42.02	39.01	6.2176	
Univ: 253	39.89	45.73	0.1765	
Univ: 254	42.16	41.64	6.3874	
Univ: 255	43.70	39.12	0.4716	
Univ: 256	40.42	43.55	0.0414	
Univ: 257	37.31	37.74	0.1362	
Univ: 258	43.69	41.01	0.0151	
Univ: 259	41.46	40.68	0.0202	
Univ: 260	48.35	43.74	0.0034	
Univ: 261	39.12	39.83	0.0074	
Univ: 262	42.06	41.07	0.0028	
Univ: 263	49.97	37.61	14.7964	
Univ: 264	41.24	41.35	0.0607	
Univ: 265	47.90	44.69	0.0215	
Univ: 266	42.75	41.32	6.8750	
Univ: 267	39.12	39.65	1.6141	
Univ: 268	36.26	45.06	0.0536	
Univ: 269	42.98	41.77	0.0009	
Univ: 270	42.51	35.71	17.6768	
Univ: 271	45.65	40.94	0.7679	
Univ: 272	47.02	47.64	0.0000	
Univ: 273	37.86	41.15	2.1786	
Univ: 274	42.04	37.45	0.0592	
Univ: 275	44.62	38.06	4.0765	
Univ: 276	44.49	43.95	0.0000	
Univ: 277	42.95	45.13	0.0674	
Univ: 278	40.53	33.62	2.0462	
Univ: 279	50.64	43.90	0.0007	
Univ: 280	53.55	39.16	0.9124	
Univ: 281	41.82	40.08	11.1783	
Univ: 282	43.90	44.58	0.3769	
Univ: 283	39.32	42.02	0.7524	
Univ: 284	40.35	39.14	1.1459	
Univ: 285	39.73	33.32	0.4202	
Univ: 286	45.18	38.38	0.3485	
Univ: 287	44.19	42.80	8.6603	
Univ: 288	42.75	35.02	0.2390	
Univ: 289	50.12	41.38	3.0062	
Univ: 290	40.87	41.62	0.0157	
Univ: 291	35.37	44.70	0.0417	
Univ: 292	51.73	44.94	0.0059	
Univ: 293	48.01	46.83	0.0007	
Univ: 294	40.93	36.32	0.4264	
Univ: 295	48.58	39.79	2.0081	
Univ: 296	42.04	45.33	0.0023	
Univ: 297	41.49	40.03	16.8349	
Univ: 298	50.53	38.73	4.0699	
Univ: 299	47.21	42.73	0.3898	
Univ: 300	47.65	44.65	0.0543	
Univ: 301	46.19	41.57	0.0024	
Univ: 302	43.48	31.08	0.0122	
Univ: 303	49.40	37.16	0.0042	
Univ: 304	41.05	36.87	3.2037	
Univ: 305	40.92	43.23	0.0186	
Univ: 306	39.85	38.99	0.6695	
Univ: 307	41.42	39.51	0.8105	
Univ: 308	39.05	41.51	0.2080	
Univ: 309	35.68	41.97	1.5607	
Univ: 310	48.21	40.45	7.1465	
Univ: 311	42.01	37.78	0.0209	
Univ: 312	40.65	42.51	0.0804	
Univ: 313	36.67	38.33	4.3513	
Univ: 314	39.80	42.72	0.0067	
Univ: 315	49.87	40.11	0.0063	
Univ: 316	50.32	37.71	1.6807	
Univ: 317	43.44	32.88	0.2922	
Univ: 318	34.35	45.02	0.0008	
Univ: 319	41.18	40.49	13.8434	
Univ: 320	43.47	40.62	0.1130	
Univ: 321	40.18	41.24	0.2586	
Univ: 322	36.13	42.66	1.1302	
Univ: 323	49.45	42.67	0.9110	
Univ: 324	37.17	41.39	0.1457	
Univ: 325	48.46	40.60	0.0327	
Univ: 326	40.65	40.21	0.0002	
Univ: 327	49.51	44.99	0.0201	
Univ: 328	46.39	36.83	0.8027	
Univ: 329	39.35	40.25	0.4880	
Univ: 330	40.63	40.66	0.1981	
Univ: 331	40.96	38.65	0.0477	
Univ: 332	49.15	43.73	0.0125	
Univ: 333	52.56	41.68	0.2264	
Univ: 334	45.36	42.57	13.6813	
Univ: 335	44.33	43.70	0.0244	
Univ: 336	43.48	32.23	0.0887	
Univ: 337	39.58	37.75	16.7803	
Univ: 338	38.37	37.22	22.4286	
Univ: 339	44.04	44.85	0.1759	
Univ: 340	43.71	40.64	0.8105	
Univ: 341	40.73	36.78	0.4612	
Univ: 342	41.23	37.89	0.0024	
Univ: 343	49.15	43.05	0.0735	
Univ: 344	40.66	37.76	2.7639	
Univ: 345	35.93	38.57	0.5048	
Univ: 346	49.99	38.63	0.1904	
Univ: 347	44.23	39.21	0.1014	
Univ: 348	50.18	38.71	0.6703	
Univ: 349	39.98	44.40	0.0007	
Univ: 350	43.63	37.87	5.6875	
Univ: 351	44.37	40.01	0.6352	
Univ: 352	53.70	40.54	1.1435	
Univ: 353	48.49	35.67	0.2372	
Univ: 354	32.50	46.89	0.6716	
Univ: 355	45.94	44.81	0.0343	
Univ: 356	41.21	36.25	4.7618	
Univ: 357	51.65	39.31	5.4689	
Univ: 358	44.89	43.48	0.0030	
