CV:    -1	23.50	19.17	
Univ: 362	26.41	22.46	0.9613	
Univ: 363	26.53	24.60	0.0174	
Univ: 364	25.57	28.12	0.0000	
Univ: 365	24.59	27.24	0.0001	
Univ: 366	26.26	26.79	0.0169	
Univ: 367	33.25	19.55	1.5290	
Univ: 368	24.42	21.40	0.9813	
Univ: 369	24.26	20.78	2.7365	
Univ: 370	17.52	21.22	9.0738	
Univ: 371	23.41	23.81	0.0482	
Univ: 372	26.35	23.89	0.0086	
Univ: 373	27.60	22.15	0.0240	
Univ: 374	23.09	19.73	0.0307	
Univ: 375	26.26	21.48	0.0291	
Univ: 376	23.07	23.66	0.1758	
Univ: 377	25.50	20.99	2.3611	
Univ: 378	25.32	23.56	0.3195	
Univ: 379	27.24	23.55	0.4178	
Univ: 380	22.19	21.23	3.8291	
Univ: 381	18.36	19.77	7.2453	
Univ: 382	22.60	21.92	0.0675	
Univ: 383	26.75	18.82	11.9961	
Univ: 384	23.27	20.03	1.9574	
Univ: 385	23.82	25.09	0.0026	
Univ: 386	17.33	21.01	0.4697	
Univ: 387	19.67	24.18	0.0113	
Univ: 388	23.26	25.33	0.8464	
Univ: 389	23.34	20.31	0.1145	
Univ: 390	19.20	21.59	3.0815	
Univ: 391	25.20	19.87	8.0480	
Univ: 392	24.29	23.88	0.0045	
Univ: 393	29.04	27.34	0.0063	
Univ: 394	17.78	26.42	0.0012	
Univ: 395	22.50	23.24	1.2843	
Univ: 396	29.56	25.89	0.0033	
Univ: 397	22.98	20.34	0.1930	
Univ: 398	29.28	21.92	0.1864	
Univ: 399	23.60	27.03	0.0000	
Univ: 400	23.76	21.98	0.6373	
Univ: 401	24.79	22.73	0.1288	
Univ: 402	26.27	23.12	0.2784	
Univ: 403	19.81	23.95	0.0311	
Univ: 404	25.16	20.64	0.1043	
Univ: 405	23.87	22.99	0.5650	
Univ: 406	25.14	17.34	3.2724	
Univ: 407	25.69	21.94	0.1049	
Univ: 408	22.07	20.15	0.4202	
Univ: 409	22.41	18.28	0.1785	
Univ: 410	22.44	18.71	2.0844	
Univ: 411	25.18	22.91	0.0039	
Univ: 412	27.86	25.82	0.0053	
Univ: 413	26.23	21.22	0.0264	
Univ: 414	25.81	16.34	5.8217	
Univ: 415	23.10	22.55	1.3046	
Univ: 416	24.53	25.24	0.0720	
Univ: 417	21.54	18.48	0.5362	
Univ: 418	19.53	23.58	0.1466	
Univ: 419	28.26	26.30	0.0033	
Univ: 420	25.57	25.69	0.0010	
Univ: 421	23.61	23.64	0.0019	
Univ: 422	23.96	26.43	0.0023	
Univ: 423	17.52	22.38	0.2383	
Univ: 424	18.93	24.25	0.0138	
Univ: 425	23.46	26.12	0.0124	
Univ: 426	25.45	23.52	0.1004	
Univ: 427	26.42	25.80	0.0042	
Univ: 428	25.93	18.93	8.1962	
Univ: 429	25.26	22.40	0.2314	
Univ: 430	24.09	19.32	0.1158	
Univ: 431	21.44	21.25	0.9368	
Univ: 432	19.54	26.15	0.0321	
Univ: 433	21.92	21.90	2.4206	
Univ: 434	23.06	26.57	0.0010	
Univ: 435	31.41	25.70	0.0104	
Univ: 436	27.82	21.43	0.8342	
Univ: 437	25.29	20.30	1.5669	
Univ: 438	22.21	22.73	0.0014	
Univ: 439	24.20	25.01	0.0006	
Univ: 440	18.56	24.62	0.0260	
Univ: 441	20.42	20.90	0.2629	
Univ: 442	28.14	17.20	5.9711	
Univ: 443	24.78	22.35	0.1965	
Univ: 444	22.30	23.88	0.0702	
Univ: 445	28.97	22.36	1.1415	
Univ: 446	26.10	18.30	23.9161	
Univ: 447	22.92	27.91	0.0000	
Univ: 448	26.90	18.41	13.9463	
Univ: 449	24.44	24.58	0.3023	
Univ: 450	27.59	16.64	0.4548	
Univ: 451	24.17	21.13	2.1815	
Univ: 452	25.23	20.83	0.5119	
Univ: 453	27.94	23.56	2.7943	
Univ: 454	29.33	16.04	21.1727	
Univ: 455	32.72	27.16	0.0056	
Univ: 456	22.18	24.17	0.1038	
Univ: 457	27.50	19.67	0.5594	
Univ: 458	24.60	25.05	0.0016	
Univ: 459	23.54	17.36	5.8157	
Univ: 460	20.00	18.41	0.1335	
Univ: 461	21.12	20.30	12.6646	
Univ: 462	21.92	21.36	0.8824	
Univ: 463	25.62	22.83	0.0962	
Univ: 464	25.42	24.12	0.0430	
Univ: 465	21.00	20.52	4.3050	
Univ: 466	19.82	25.81	0.0151	
Univ: 467	25.13	21.61	0.0700	
Univ: 468	24.14	23.90	0.0137	
Univ: 469	19.27	27.73	0.0001	
Univ: 470	27.26	25.35	0.0072	
Univ: 471	25.84	22.79	0.0269	
Univ: 472	20.35	24.54	0.0296	
Univ: 473	23.54	16.57	3.3365	
Univ: 474	19.48	21.64	1.4278	
Univ: 475	20.88	22.78	2.7681	
Univ: 476	27.19	18.99	1.8295	
Univ: 477	22.51	24.08	0.0737	
Univ: 478	20.25	22.39	0.5887	
Univ: 479	22.89	24.81	0.7016	
Univ: 480	20.51	25.13	0.0231	
Univ: 481	27.70	28.73	0.0007	
Univ: 482	23.40	20.79	6.6250	
Univ: 483	22.98	19.74	14.3099	
Univ: 484	21.97	23.40	0.0185	
Univ: 485	29.82	24.38	0.2753	
Univ: 486	21.42	21.97	0.3365	
Univ: 487	22.68	19.87	3.5359	
Univ: 488	18.61	28.34	0.0021	
Univ: 489	19.38	24.41	0.0742	
Univ: 490	19.93	24.36	0.0538	
Univ: 491	18.06	22.92	0.0108	
Univ: 492	20.68	20.85	0.2402	
Univ: 493	22.15	21.92	0.1317	
Univ: 494	26.54	22.20	1.3161	
Univ: 495	19.98	18.32	6.9599	
Univ: 496	16.81	24.95	0.0072	
Univ: 497	28.82	19.25	0.0922	
Univ: 498	22.55	21.41	0.0177	
Univ: 499	30.72	25.50	0.0037	
Univ: 500	29.75	20.69	0.0312	
Univ: 501	22.23	31.43	0.0000	
Univ: 502	18.87	24.34	0.0000	
Univ: 503	24.02	26.36	0.0000	
Univ: 504	20.77	23.74	0.0005	
Univ: 505	19.06	23.56	0.0000	
